team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
20,1,2025-08-16 16:30:00+00:00,2,1.0,,6,True,13,0.05,0.0,0.0,0.05
20,2,2025-08-23 14:00:00+00:00,3,1.5,6.0,7,False,4,0.15,0.0,0.0,0.15
20,3,2025-08-30 14:00:00+00:00,2,1.0,7.0,14,True,9,0.05,0.0,0.0,0.05
20,4,2025-09-13 14:00:00+00:00,2,1.0,14.0,7,False,15,0.05,0.0,0.0,0.05
20,5,2025-09-20 14:00:00+00:00,2,1.0,7.0,7,True,11,0.05,0.0,0.0,0.05
20,6,2025-09-28 13:00:00+00:00,2,1.0,7.0,6,False,18,0.05,0.0,0.0,0.05
20,7,2025-10-04 14:00:00+00:00,2,1.0,6.0,14,True,6,0.05,0.0,0.0,0.05
20,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,17,0.05,0.0,0.0,0.05
20,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,3,0.05,0.0,0.0,0.05
20,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,10,0.05,0.0,0.0,0.05
